SID,Year,OS_ID,OS_Name,Site_ID,Material,total,legal,sublegal,spat,non_spat,Collection.Method,Sample.Method,Latitude,Longitude,Deployment.Year,Deployment.Month,Material_Age,Oyster.Cover,Mussel_Cover,Sedimentation,Boring_Sponge,Sample_Depth,OS.Depth,Relief,S.DO,B.DO,S.Sal,B.Sal,S.Temp,B.Temp
2019-10-2-OS-09-1,2019,9,West Bluff,1,Marl,356,8,136,212,144,Extraction,Census,35 18.261,76 10.099,2005,10,14,1,3,2,3,11,15,4,NA,NA,NA,NA,NA,NA
2019-10-2-OS-09-2,2019,9,West Bluff,2,Marl,180,0,16,164,16,Extraction,Census,35 18.274,76 10.154,2005,8,14.17,1,3,2,3,11,15,4,NA,NA,NA,NA,NA,NA
2019-10-2-OS-09-3,2019,9,West Bluff,3,Marl,452,4,156,292,160,Extraction,Census,35 18.286,76 10.182,2006,5,13.42,1,3,2,3,10,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-2-OS-09-4,2019,9,West Bluff,4,Marl,320,0,44,276,44,Extraction,Census,35 18.253,76 10.188,2009,7,10.25,1,3,2,3,10,NA,NA,NA,NA,NA,NA,NA,NA
2019-6-18-OS-15-1,2019,15,Swan Island,1,Marl,416,88,324,4,412,Extraction,Census,35 05.528,76 27.350,2017,5,2.08,2,1,2,1,11,13,2,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-2,2019,15,Swan Island,2,Marl,768,28,604,136,632,Extraction,Census,35 05.575,76 27.429,2017,6,2,2,1,2,1,11,14,3,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-3,2019,15,Swan Island,3,Marl,264,24,232,8,256,Extraction,Census,35 05.577,76 27.296,2017,6,2,2,1,2,1,12,14,2,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-4,2019,15,Swan Island,4,Marl,380,16,344,20,360,Extraction,Census,35 05.516,76 27.205,2017,5,2.08,2,1,2,1,11,13,2,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-5,2019,15,Swan Island,5,Marl,768,52,676,40,728,Extraction,Census,35 05.560,76 27.366,2017,6,2,2,1,2,1,10,14,4,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-6,2019,15,Swan Island,6,Marl,460,4,452,4,456,Extraction,Census,35 05.519,76 27.240,2017,5,2.08,2,1,2,1,10,13,3,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-7,2019,15,Swan Island,7,Marl,428,16,412,0,428,Extraction,Census,35 05.538,76 27.405,2017,5,2.08,2,1,2,1,10,13,3,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-18-OS-15-8,2019,15,Swan Island,8,Marl,544,52,440,52,492,Extraction,Census,35 05.576,76 27.316,2017,6,2,2,1,2,1,12,14,2,7.48,7.42,17.1,17.3,28.3,27.5
2019-6-25-OS-15-10,2019,15,Swan Island,10,Granite,836,0,704,132,704,Extraction,Census,35 05.580,76 27.041,2018,6,1,1,1,2,1,10,14,4,7.48,7.42,17.1,17.3,28.3,27.5
